ley,articulo,texto
1,Artículo 11,"DE LA PRIVACION DE LA LIBERTAD Nadie será privado de su libertad física o procesado, sino mediando las causas y en las condiciones fijadas por esta Constitución y las leyes."
1,Artículo 12,"DE LA DETENCION Y DEL ARRESTO Nadie será detenido ni arrestado sin orden escrita de autoridad competente, salvo caso de ser sorprendido en flagrante comisión de delito que mereciese pena corporal. Toda persona detenida tiene derecho a: 1. que se le informe, en el momento del hecho, de la causa que la motiva, de su derecho a guardar silencio y a ser asistida por un defensor de su confianza. En el acto de la detención, la autoridad está obligada a exhibir la orden escrita que la dispuso; 2. que la detención sea inmediatamente comunicada a sus familiares o personas que el detenido indique; 3. que se le mantenga en libre comunicación salvo que, excepcionalmente, se halle establecida su incomunicación por mandato judicial competente; la incomunicación no regirá respecto a su defensor, y en ningún caso podrá exceder del término que prescribe la ley; 4. que disponga de un intérprete, si fuere necesario, y a 5. que sea puesta, en un plazo no mayor de veinticuatro horas, a disposición del magistrado judicial competente, para que éste disponga cuanto corresponda en derecho."
1,Artículo 13,"DE LA NO PRIVACION DE LIBERTAD POR DEUDAS No se admite la privación de la libertad por deuda, salvo mandato de autoridad judicial competente dictado por incumplimiento de deberes alimentarios o como sustitución de multas o fianzas judiciales."
1,Artículo 14,"DE LA IRRETROACTIVIDAD DE LA LEY Ninguna ley tendrá efecto retroactivo, salvo que sea más favorable al encausado o al condenado."
1,Artículo 15,"DE LA PROHIBICION DE HACERSE JUSTICIA POR SI MISMO Nadie podrá hacer justicia por sí mismo ni reclamar sus derechos con violencia, pero se garantiza la legítima defensa."
1,Artículo 16,"DE LA DEFENSA EN JUICIO La defensa en juicio de las personas y de sus derechos es inviolable. Toda persona tiene derecho a ser juzgada por tribunales y jueces competentes, independientes e imparciales."
1,Artículo 17,"DE LOS DERECHOS PROCESALES En el proceso penal, o en cualquier otro del cual pudiera derivarse pena o sanción, toda persona tiene derecho a: 1. que sea presumida su inocencia; 2. que se le juzgue en juicio público, salvo los casos contemplados por el magistrado para salvaguardar otros derechos; 3. que no se le condene sin juicio previo fundado en una ley anterior al hecho del proceso, ni que se le juzgue por tribunales especiales; 4. que no se le juzgue más de una vez por el mismo hecho. No se pueden reabrir procesos fenecidos, salvo la revisión favorable de sentencias penales establecidas en los casos previstos por la ley procesal; 5. que se defienda por sí misma o sea asistida por defensores de su elección; 6. que el Estado le provea de un defensor gratuito, en caso de no disponer de medios económicos para solventarlo; 7. la comunicación previa y detallada de la imputación, así como a disponer de copias, medios y plazos indispensables para la preparación de su defensa en libre comunicación; 8. que ofrezca, practique, controle e impugne pruebas; 9. que no se le opongan pruebas obtenidas o actuaciones producidas en violación de las normas jurídicas; 10. el acceso, por sí o por intermedio de su defensor, a las actuaciones procesales, las cuales en ningún caso podrán ser secretas para ellos. El sumario no se prolongará más allá del plazo establecido por la ley, y a 11. la indemnización por el Estado en caso de condena por error judicial."
1,Artículo 18,"DE LAS RESTRICCIONES DE LA DECLARACION Nadie puede ser obligado a declarar contra sí mismo, contra su cónyuge o contra la persona con quien está unido de hecho, ni contra sus parientes dentro del cuarto grado de consanguinidad o segundo de afinidad inclusive. Los actos ilícitos o la deshonra de los imputados no afectan a sus parientes o allegados."
1,Artículo 19,"DE LA PRISION PREVENTIVA La prisión preventiva sólo será dictada cuando fuese indispensable en las diligencias del juicio. En ningún caso la misma se prolongará por un tiempo mayor al de la pena mínima establecida para igual delito, de acuerdo con la calificación del hecho efectuada en el auto respectivo."
1,Artículo 20,DEL OBJETO DE LAS PENAS Las penas privativas de libertad tendrán por objeto la readaptación de los condenados y la protección de la sociedad. Quedan proscriptas la pena de confiscación de bienes y la de destierro.
1,Artículo 21,"DE LA RECLUSION DE LAS PERSONAS Las personas privadas de su libertad serán recluidas en establecimientos adecuados, evitando la promiscuidad de sexos. Los menores no serán recluidos con personas mayores de edad. La reclusión de personas detenidas se hará en lugares diferentes a los destinados para los que purguen condena."
1,Artículo 22,DE LA PUBLICACION SOBRE PROCESOS La publicación sobre procesos judiciales en curso debe realizarse sin prejuzgamiento. El procesado no debe ser presentado como culpable antes de la sentencia ejecutoriada.
1,Artículo 23,"DE LA PRUEBA DE LA VERDAD La prueba de la verdad y de la notoriedad no serán admisibles en los procesos que se promoviesen con motivo de publicaciones de cualquier carácter que afecten al honor, a la reputación o a la dignidad de las personas, y que se refieran a delitos de acción penal privada o a conductas privadas que esta Constitución o la ley declaran exentas de la autoridad pública. Dichas pruebas serán admitidas cuando el proceso fuera promovido por la publicación de censuras a la conducta pública de los funcionarios del Estado, y en los demás casos establecidos expresamente por la ley."
1,Artículo 24,"DE LA LIBERTAD RELIGIOSA Y LA IDEOLOGICA Quedan reconocidas la libertad religiosa, la de culto y la ideológica, sin más limitaciones que las establecidas en esta Constitución y en la ley. Ninguna confesión tendrá carácter oficial. Las relaciones del Estado con la Iglesia Católica se basan en la independencia, cooperación y autonomía. Se garantizan la independencia y la autonomía de las iglesias y confesiones religiosas, sin más limitaciones que las impuestas en esta Constitución y las leyes. Nadie puede ser molestado, indagado u obligado a declarar por causa de sus creencias o de su ideología."
1,Artículo 25,"DE LA EXPRESION DE LA PERSONALIDAD Toda persona tiene el derecho a la libre expresión de su personalidad, a la creatividad y a la formación de su propia identidad. Se garantiza el pluralismo ideológico."
1,Artículo 26,"DE LA LIBERTAD DE EXPRESION Y DE PRENSA Se garantizan la libre expresión y la libertad de prensa, así como la difusión del pensamiento y de la opinión, sin censura alguna, sin más limitaciones que las dispuestas en esta Constitución; en consecuencia, no se dictará ninguna ley que las imposibilite o las restrinja. No habrá delitos de prensa, sino delitos comunes cometidos por medio de la prensa. Toda persona tiene derecho a generar, procesar o difundir información, como igualmente a la utilización de cualquier instrumento lícito y apto para tales fines."
1,Artículo 27,"DEL EMPLEO DE LOS MEDIOS MASIVOS DE COMUNICACION SOCIAL El empleo de los medios de comunicación social es de interés público; en consecuencia, no se los podrá clausurar ni suspender su funcionamiento. No se admitirá la prensa carente de dirección responsable. Se prohíbe toda práctica discriminatoria en la provisión de insumos para la prensa, así como interferir las frecuencias radioeléctricas y obstruir, de la manera que fuese, la libre circulación, la distribución y la venta de periódicos, libros, revistas o demás publicaciones con dirección o autoría responsable. Se garantiza el pluralismo informativo. La ley regulará la publicidad para la mejor protección de los derechos del niño, del joven, del analfabeto, del consumidor y de la mujer."
1,Artículo 28,"DEL DERECHO A INFORMARSE Se reconoce el derecho de las personas a recibir información veraz, responsable y ecuánime. Las fuentes públicas de información son libres para todos. La ley regulará las modalidades, plazos y sanciones correspondientes a las mismas, a fin de que este derecho sea efectivo. Toda persona afectada por la difusión de una información falsa, distorsionada o ambigua tiene derecho a exigir su rectificación o su aclaración por el mismo medio y en las mismas condiciones que haya sido divulgada, sin perjuicio de los demás derechos compensatorios."
1,Artículo 29,"DE LA LIBERTAD DE EJERCICIO DEL PERIODISMO El ejercicio del periodismo, en cualquiera de sus formas, es libre y no está sujeto a autorización previa. Los periodistas de los medios masivos de comunicación social, en cumplimiento de sus funciones, no serán obligados a actuar contra los dictados de su conciencia ni a revelar sus fuentes de información. El periodista columnista tiene derecho a publicar sus opiniones firmadas, sin censura, en el medio en el cual trabaje. La dirección podrá dejar a salvo su responsabilidad, haciendo constar su disenso. Se reconoce al periodista el derecho de autoría sobre el producto de su trabajo intelectual, artístico o fotográfico, cualquiera sea su técnica, conforme con la ley."
1,Artículo 30,"DE LAS SEÑALES DE COMUNICACION ELECTROMAGNETICA La emisión y la propagación de las señales de comunicación electromagnética son del dominio público del Estado, el cual, en ejercicio de la soberanía nacional, promoverá el pleno empleo de las mismas según los derechos propios de la República y conforme con los convenios internacionales ratificados sobre la materia. La ley asegurará, en igualdad de oportunidades, el libre acceso al aprovechamiento del espectro electromagnético, así como al de los instrumentos electrónicos de acumulación y procesamiento de información pública, sin más límites que los impuestos por las regulaciones internacionales y las normas técnicas. Las autoridades asegurarán que estos elementos no sean utilizados para vulnerar la intimidad personal o familiar y los demás derechos establecidos en esta Constitución."
1,Artículo 31,"DE LOS MEDIOS MASIVOS DE COMUNICACION SOCIAL DEL ESTADO Los medios de comunicación dependientes del Estado serán regulados por ley en su organización y en su funcionamiento, debiendo garantizarse el acceso democrático y pluralista a los mismos de todos los sectores sociales y políticos, en igualdad de oportunidades."
1,Artículo 32,"DE LA LIBERTAD DE REUNION Y DE MANIFESTACION Las personas tienen derecho a reunirse y a manifestarse pacíficamente, sin armas y con fines lícitos, sin necesidad de permiso, así como el derecho a no ser obligadas a participar de tales actos. La ley sólo podrá reglamentar su ejercicio en lugares de tránsito público, en horarios determinados, preservando derechos de terceros y el orden público establecido en la ley."
1,Artículo 33,"DEL DERECHO A LA INTIMIDAD La intimidad personal y familiar, así como el respeto a la vida privada, son inviolables. La conducta de las personas, en tanto no afecte al orden público establecido en la ley o a los derechos de terceros, estará exenta de la autoridad pública. Se garantiza el derecho a la protección de la intimidad, de la dignidad y de la imagen privada de las personas."
1,Artículo 34,"DEL DERECHO A LA INVIOLABILIDAD DE LOS RECINTOS PRIVADOS Todo recinto privado es inviolable. Sólo podrá ser allanado o clausurado por orden judicial y con sujeción a la ley. Excepcionalmente podrá serlo, además, en caso de flagrante delito o para impedir su inminente perpetración, o para evitar daños a la persona o a la propiedad."
1,Artículo 35,"DE LOS DOCUMENTOS IDENTIFICATORIOS Los documentos identificatorios, licencias o constancias de las personas no podrán ser incautados ni retenidos por las autoridades. Estas no podrán privarlas de ellos, salvo los casos previstos en la ley."
1,Artículo 36,"DEL DERECHO A LA INVIOLABILIDAD DEL PATRIMONIO DOCUMENTAL Y LA COMUNICACION PRIVADA El patrimonio documental de las personas es inviolable. Los registros, cualquiera sea su técnica, los impresos, la correspondencia, los escritos, las comunicaciones telefónicas, telegráficas, cablegráficos  o de cualquier otra especie, las colecciones o reproducciones, los testimonios y los objetos de valor testimonial, así como sus respectivas copias, no podrán ser examinados, reproducidos, interceptados o secuestrados sino por orden judicial para casos específicamente previstos en la ley, y siempre que fuesen indispensables para el esclarecimiento de los asuntos de competencia de las correspondientes autoridades. La ley determinará modalidades especiales para el examen de la contabilidad comercial y de los registros legales obligatorios. Las pruebas documentales obtenidas en violación o lo prescripto anteriormente carecen de valor en juicio. En todos los casos se guardará estricta reserva sobre aquello que no haga relación con lo investigado."
1,Artículo 37,"DEL DERECHO A LA OBJECION DE LA CONCIENCIA Se reconoce la objeción de conciencia por razones éticas o religiosas, para los casos en que esta Constitución y la ley la admitan."
1,Artículo 38,"DEL DERECHO A LA DEFENSA DE LOS INTERESES DIFUSOS Toda persona tiene derecho, individual o colectivamente, a reclamar a las autoridades públicas medidas para la defensa del ambiente, de la integridad del hábitat, de la salubridad pública, del acervo cultural nacional, de los intereses del consumidor y de otros que, por su naturaleza jurídica, pertenezcan a la comunidad y hagan relación con la calidad de vida y con el patrimonio colectivo."
1,Artículo 39,DEL DERECHO A LA INDEMNIZACION JUSTA Y ADECUADA Toda persona tienen derecho a ser indemnizada justa y adecuadamente por los daños o perjuicios de que fuere objeto por parte del Estado. La ley reglamentará este derecho.
1,Artículo 40,"DEL DERECHO A PETICIONAR A LAS AUTORIDADES Toda persona, individual o colectivamente y sin requisitos especiales, tienen derecho a peticionar a las autoridades, por escrito, quienes deberán responder dentro del plazo y según las modalidades que la ley determine. Se reputará denegada toda petición que no obtuviese respuesta en dicho plazo."
1,Artículo 41,"DEL DERECHO AL TRANSITO Y A LA RESIDENCIA Todo paraguayo tiene derecho a residir en su Patria. Los habitantes pueden transitar libremente por el territorio nacional, cambiar de domicilio o de residencia, ausentarse de la República o volver a ella y, de acuerdo con la ley, incorporar sus bienes al país o sacarlos de él. Las migraciones serán reglamentadas por la ley, con observancia de estos derechos. El ingreso de los extranjeros sin radicación definitiva en el país será regulado por la ley, considerando los convenios internacionales sobre la materia. Los extranjeros con radicación definitiva en el país no serán obligados a abandonarlo sino en virtud de sentencia judicial."
1,Artículo 42,"DE LA LIBERTAD DE ASOCIACION Toda persona es libre de asociarse o agremiarse con fines lícitos, así como nadie está obligado a pertenecer a determinada asociación. La forma de colegiación profesional será reglamentada por ley. Están prohibidas las asociaciones secretas y las de carácter paramilitar."
1,Artículo 43,"DEL DERECHO DE ASILO El Paraguay reconoce el derecho de asilo territorial y diplomático a toda persona perseguida por motivos o delitos políticos o por delitos comunes conexos, así como por sus opiniones o por sus creencias. Las autoridades deberán otorgar de inmediato la documentación personal y el correspondiente salvoconducto. Ningún asilado político será trasladado compulsivamente al país cuyas autoridades lo persigan."
1,Artículo 44,DE LOS TRIBUTOS Nadie estará obligado al pago de tributos ni a la prestación de servicios personales que no hayan sido establecidos por la ley. No se exigirán fianzas excesivas ni se impondrán multas desmedidas.
1,Artículo 45,"DE LOS DERECHOS Y GARANTIAS NO ENUNCIADOS La enunciación de los derechos y garantías contenidos en esta Constitución no debe entenderse como negación de otros que, siendo inherentes a la personalidad humana, no figuren expresamente en ella. La falta de ley reglamentaria no podrá ser invocada para negar ni para menoscabar algún derecho o garantía CAPITULO III DE LA IGUALDAD"
1,Artículo 46,DE LA IGUALDAD DE LAS PERSONAS Todos los habitantes de la República son iguales en dignidad y derechos. No se admiten discriminaciones. El Estado removerá los obstáculos e impedirá los factores que las mantengan o las propicien. Las protecciones que se establezcan sobre desigualdades injustas no serán consideradas como factores discriminatorios sino igualitarios.
1,Artículo 47,"DE LAS GARANTIAS DE LA IGUALDAD El Estado garantizará a todos los habitantes de la República: 1. la igualdad para el acceso a la justicia, a cuyo efecto allanará los obstáculos que la impidiesen; 2. la igualdad ante las leyes; 3. la igualdad para el acceso a las funciones públicas no electivas, sin más requisitos que la idoneidad, y 4. la igualdad de oportunidades en la participación de los beneficios de la naturaleza, de los bienes materiales y de la cultura."
1,Artículo 48,"DE LA IGUALDAD DE DERECHOS DEL HOMBRE Y DE LA MUJER El hombre y la mujer tienen iguales derechos civiles, políticos, sociales, económicos y culturales. El Estado promoverá las condiciones y creará los mecanismos adecuados para que la igualdad sea real y efectiva, allanando los obstáculos que impidan o dificulten su ejercicio y facilitando la participación de la mujer en todos los ámbitos de la vida nacional. CAPITULO IV DE LOS DERECHOS DE LA FAMILIA"
1,Artículo 49,"DE LA PROTECCION A LA FAMILIA La familia es el fundamento de la sociedad. Se promoverá y se garantizará su protección integral. Esta incluye a la unión estable del hombre y de la mujer, a los hijos y a la comunidad que se constituya con cualquiera de sus progenitores y sus descendientes."
1,Artículo 50,"DEL DERECHO A CONSTITUIR FAMILIA Toda persona tiene derecho a constituir familia, en cuya formación y desenvolvimiento la mujer y el hombre tendrán los mismos derechos y obligaciones."
1,Artículo 51,"DEL MATRIMONIO Y DE LOS EFECTOS DE LAS UNIONES DE HECHO La ley establecerá las formalidades para la celebración del matrimonio entre el hombre y la mujer, los requisitos para contraerlo, las causas de separación, de disolución y sus efectos, así como el régimen de administración de bienes y otros derechos y obligaciones entre cónyuges. Las uniones de hecho entre el hombre y la mujer, sin impedimentos legales para contraer matrimonio, que reúnan las condiciones de estabilidad y singularidad, producen efectos similares al matrimonio, dentro de las condiciones que establezca la ley."
1,Artículo 52,DE LA UNION EN MATRIMONIO La unión en matrimonio del hombre y la mujer es uno de los componentes fundamentales en la formación de la familia.
1,Artículo 53,"DE LOS HIJOS Los padres tienen el derecho y la obligación de asistir, de alimentar, de educar y de amparar a sus hijos menores de edad. Serán penados por la ley en caso de incumplimiento de sus deberes de asistencia alimentaria. Los hijos mayores de edad están obligados a prestar asistencia a sus padres en caso de necesidad. La ley reglamentará la ayuda que se debe prestar a la familia de prole numerosa y a las mujeres cabeza de familia. Todos los hijos son iguales ante la ley. Esta posibilitará la investigación de la paternidad. Se prohíbe cualquier calificación sobre la filiación en los documentos personales."
1,Artículo 54,"DE LA PROTECCION AL NIÑO La familia, la sociedad y el Estado tienen la obligación de garantizar al niño su desarrollo armónico e integral, así como el ejercicio pleno de sus derechos protegiéndolo contra el abandono, la desnutrición, la violencia, el abuso, el tráfico y la explotación. Cualquier persona puede exigir a la autoridad competente el cumplimiento de tales garantías y la sanción de los infractores. Los derechos del niño, en caso de conflicto, tienen carácter prevaleciente."
1,Artículo 55,"DE LA MATERNIDAD Y DE LA PATERNIDAD La maternidad y la paternidad responsables serán protegidas por el Estado, el cual fomentará la creación de instituciones necesarias para dichos fines."
1,Artículo 56,"DE LA JUVENTUD Se promoverán las condiciones para la activa participación de la juventud en el desarrollo político, social, económico y cultural del país."
1,Artículo 57,"DE LA TERCERA EDAD Toda persona en la tercera edad tiene derecho a una protección integral. La familia, la sociedad y los poderes públicos promoverán su bienestar mediante servicios sociales que se ocupen de sus necesidades de alimentación, salud, vivienda, cultura y ocio."
1,Artículo 58,"DE LOS DERECHOS DE LAS PERSONAS EXCEPCIONALES Se garantizará a las personas excepcionales la atención de su salud, de su educación, de su recreación y de su formación profesional para una plena integración social. El Estado organizará una política de prevención, tratamiento, rehabilitación e integración de los discapacitados físicos, psíquicos y sensoriales, a quienes prestará el cuidado especializado que requieran. Se les reconocerá el disfrute de los derechos que esta Constitución otorga a todos los habitantes de la República, en igualdad de oportunidades, a fin de compensar sus desventajas."
1,Artículo 59,"DEL BIEN DE LA FAMILIA Se reconoce como institución de interés social el bien de familia, cuyo régimen será determinado por ley. El mismo estará constituido por la vivienda o el fundo familiar, y por sus muebles y elementos de trabajo, los cuales serán inembargables."
1,Artículo 60,DE LA PROTECCION CONTRA LA VIOLENCIA El Estado promoverá políticas que tengan por objeto evitar la violencia en el ámbito familiar y otras causas que atenten contra su solidaridad.
1,Artículo 61,"DE LA PLANIFICACION FAMILIAR Y DE LA SALUD MATERNO INFANTIL El Estado reconoce el derecho de las personas a decidir libre y responsablemente el número y la frecuencia del nacimiento de sus hijos, así como a recibir, en coordinación con los organismos pertinentes educación, orientación científica y servicios adecuados, en la materia. Se establecerán planes especiales de salud reproductiva y salud materno infantil para la población de escasos recursos. CAPITULO V DE LOS PUEBLOS INDIGENAS"
1,Artículo 62,"DE LOS PUEBLOS INDIGENAS Y GRUPOS ETNICOS Esta Constitución reconoce la existencia de los pueblos indígenas, definidos como grupos de cultura anteriores a la formación y organización del Estado paraguayo."
1,Artículo 63,"DE LA IDENTIDAD ETNICA Queda reconocido y garantizado el derecho de los pueblos indígenas a preservar y a desarrollar su identidad étnica en el respectivo hábitat. Tienen derecho, asimismo, a aplicar libremente sus sistemas de organización política, social, económica, cultural y religiosa, al igual que la voluntaria sujeción a sus normas consuetudinarias para la regulación de la convivencia interna, siempre que ellas no atenten contra los derechos fundamentales establecidos en esta Constitución. En los conflictos jurisdiccionales se tendrá en cuenta el derecho consuetudinario indígena."
1,Artículo 64,"DE LA PROPIEDAD COMUNITARIA Los pueblos indígenas tienen derecho a la propiedad comunitaria de la tierra, en extensión y calidad suficientes para la conservación y el desarrollo de sus formas peculiares de vida. El Estado les proveerá gratuitamente de estas tierras, las cuales serán inembargables, indivisibles, intransferibles, imprescriptibles, no susceptibles, no susceptibles de garantizar obligaciones contractuales ni de ser arrendadas; asimismo, estarán exentas de tributo. Se prohíbe la remoción o traslado de su hábitat sin el expreso consentimiento de los mismos."
1,Artículo 65,"DEL DERECHO A LA PARTICIPACION Se garantiza a los pueblos indígenas el derecho a participar en la vida económica, social, política y cultural del país, de acuerdo con sus usos consuetudinarios, ésta Constitución y las leyes nacionales."
1,Artículo 66,"DE LA EDUCACION Y LA ASISTENCIA El Estado respetará las peculiaridades culturales de los pueblos indígenas, especialmente en lo relativo a la educación formal. Se atenderá, además, a su defensa contra la regresión demográfica, la depredación de su hábitat, la contaminación ambiental, la explotación económica y la alienación cultural."
1,Artículo 67,"DE LA EXONERACION Los miembros de los pueblos indígenas están exonerados de prestar servicios sociales, civiles o militares, así como de las cargas públicas que establezca la ley. CAPITULO VI DE LA SALUD"
1,Artículo 68,"DEL DERECHO A LA SALUD El Estado protegerá y promoverá la salud como derecho fundamental de la persona y en interés de la comunidad. Nadie será privado de asistencia pública para prevenir o tratar enfermedades, pestes o plagas, y de socorro en los casos de catástrofe y de accidentes. Toda persona estará obligada a someterse a las medidas sanitarias que establezca la ley, dentro del respeto a la dignidad humana."
1,Artículo 69,"DEL SISTEMA NACIONAL DE SALUD Se promoverá un sistema nacional de salud que ejecute acciones sanitarias integradas, con políticas que posibiliten la concertación, la coordinación y la complementación de programas y recursos del sector público y privado."
1,Artículo 70,DEL REGIMEN DE BIENESTAR SOCIAL La ley establecerá programas de bienestar social mediante estrategias basadas en la educación sanitaria y en la participación comunitaria.
1,Artículo 71,"DEL NARCOTRAFICO, DE LA DROGADICCION Y DE LA REHABILITACION El Estado reprimirá la producción, y el tráfico ilícitos de las sustancias estupefacientes y demás drogas peligrosas, así como los actos destinados a la legitimación del dinero proveniente de tales actividades. Igualmente combatirá el consumo ilícito de dichas drogas. La ley reglamentará la producción y el uso medicinal de las mismas. Se establecerán programas de educación preventiva y de rehabilitación de los adictos, con la participación de organizaciones privadas."
1,Artículo 72,"DEL CONTROL DE CALIDAD El Estado velará por el control de la calidad de los productos alimenticios, químicos, farmacéuticos y biológicos, en las etapas de producción, importación y comercialización. Asimismo facilitará el acceso de factores de escasos recursos a los medicamentos considerados esenciales. CAPITULO VIII DE LA EDUCACION Y DE LA CULTURA"
1,Artículo 73,"DEL DERECHO A LA EDUCACION Y DE SUS FINES Toda persona tiene derecho a la educación integral y permanente, que como sistema y proceso se realiza en el contexto de la cultura de la comunidad. Sus fines son el desarrollo pleno de la personalidad humana y la promoción de la libertad y la paz, la justicia social, la solidaridad, la cooperación y la integración de los pueblos; el respeto a los derechos humanos y los principios democráticos; la afirmación del compromiso con la Patria, de la identidad cultural y la formación intelectual, moral y cívica, así como la eliminación de los contenidos educativos de carácter discriminatorio. La erradicación del analfabetismo y la capacitación para el trabajo son objetivos permanentes del sistema educativo."
1,Artículo 74,"DEL DERECHO DE APRENDER Y DE LA LIBERTAD DE ENSEÑAR Se garantizan el derecho de aprender y la igualdad de oportunidades al acceso a los beneficios de la cultura humanística, de la ciencia y de la tecnología, sin discriminación alguna. Se garantiza igualmente la libertad de enseñar, sin más requisitos que la idoneidad y la integridad ética, así como el derecho a la educación religiosa y al pluralismo ideológico."
1,Artículo 75,"DE LA RESPONSABILIDAD EDUCATIVA La educación es responsabilidad de la sociedad y recae en particular en la familia, en el Municipio y en el Estado. El Estado promoverá programas de complemento nutricional y suministro de útiles escolares para los alumnos de escasos recursos."
1,Artículo 76,"DE LAS OBLIGACIONES DEL ESTADO La educación escolar básica es obligatoria. En las escuelas públicas tendrá carácter gratuito. El Estado fomentará la enseñanza media, técnica, agropecuaria, industrial y la superior o universitaria, así como la investigación científica y tecnológica. La organización del sistema educativo es responsabilidad esencial del Estado, con la participación de las distintas comunidades educativas. Este sistema abarcará a los sectores públicos y privados, así como al ámbito escolar y extraescolar."
1,Artículo 77,"DE LA ENSEÑANZA EN LENGUA MATERNA La enseñanza en los comienzos del proceso escolar se realizará en la lengua oficial materna del educando. Se instruirá asimismo en el conocimiento y en el empleo de ambos idiomas oficiales de la República En el caso de las minorías étnicas cuya lengua materna no sea el guaraní, se podrá elegir uno de los dos idiomas oficiales."
1,Artículo 78,"DE LA EDUCACION TECNICA El Estado fomentará la capacitación para el trabajo por medio de la enseñanza técnica, a fin de formar los recursos humanos requeridos para el desarrollo nacional."
1,Artículo 79,"DE LAS UNIVERSIDADES E INSTITUTOS SUPERIORES La finalidad principal de las universidades y de los institutos superiores será la formación profesional superior, la investigación científica y la tecnológica, así como la extensión universitaria. Las universidades son autónomas. Establecerán sus estatutos y formas de gobierno y elaborarán sus planes de estudio de acuerdo con la política educativa y los planes de desarrollo nacional. Se garantiza la libertad de enseñanza y la de la cátedra. Las universidades, tanto públicas como privadas, serán creadas por ley, la cual determinará las profesiones que necesiten títulos universitarios para su ejercicio."
1,Artículo 80,"DE LOS FONDOS PARA BECAS Y AYUDAS La ley preverá la constitución de fondos para becas y otras ayudas, con el objeto de facilitar la formación intelectual, científica, técnica o artística de las personas con preferencia de las que carezcan de recursos."
